"sink_loc","source_loc","block_name","source_func"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/3user/help/index.js|22:12:22:51","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/3user/help/index.js|20:20:20:20","entry node of functio ...  })\n  }","onLoad"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/3user/help/index.js|22:12:22:51","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/3user/help/index.js|22:48:22:51","guard: e.id > 0 is true","onLoad"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/index/user.js|12:12:12:47","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/index/user.js|8:20:8:20","entry node of functio ... }))\n  }","onLoad"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/index/user.js|12:12:12:47","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/index/user.js|12:44:12:47","guard: ""helpvi ...  e.page is true","onLoad"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/index/user.js|17:14:17:49","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx0c81a5d77dd90191/pages/index/user.js|8:20:8:20","entry node of functio ... }))\n  }","onLoad"
